Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;demanda_raw;demanda_score;Demanda
46177;Museros;0.8;76.6;0.6629704356398267;6871.0;14455.0;381.0;17.0;47.0;78.0;11.0;94.0;134.0;3.0;56.0;26.0;274.0;0.5260214044168179;0.7027583165535926;4
46178;Nàquera/Náquera;0.8;76.6;0.7186261726190479;8556.0;15626.0;412.0;17.0;46.0;85.0;17.0;87.0;160.0;5.0;51.0;33.0;318.0;0.5165439766336328;0.6727810046901788;4
46179;Navarrés;0.8;76.6;0.6130461092381272;3027.0;11852.0;170.0;3.0;16.0;34.0;3.0;49.0;66.0;6.0;29.0;8.0;122.0;0.542452873779686;0.7547314143954723;4
46180;Novetlè;0.8;76.6;0.707584478648764;872.0;15022.0;39.0;0.0;5.0;15.0;0.0;6.0;13.0;3.0;3.0;3.0;29.0;0.4806486318267304;0.5592432420885564;3
46181;Oliva;0.8;76.6;0.6374127194258182;26813.0;12866.0;1556.0;39.0;200.0;345.0;56.0;371.0;545.0;68.0;100.0;151.0;1184.0;0.5677949059036466;0.8348888176078143;5
46182;Olocau;0.8;76.6;0.7030380758555642;2534.0;15763.0;133.0;5.0;16.0;38.0;3.0;23.0;47.0;3.0;16.0;8.0;99.0;0.49602614068924517;0.607882639760558;4
46183;Olleria,;0.8;76.6;0.5933417146538237;8818.0;12575.0;477.0;16.0;46.0;99.0;14.0;94.0;208.0;14.0;122.0;22.0;287.0;0.5504980889630455;0.7801786064054957;4
46184;Ontinyent;0.8;76.6;0.5743735262958672;37012.0;13307.0;2387.0;63.0;295.0;489.0;75.0;464.0;1001.0;74.0;572.0;132.0;1414.0;0.5708275771896416;0.8444812233743652;5
46185;Otos;0.8;76.6;0.660139050367387;442.0;12504.0;21.0;0.0;3.0;5.0;0.0;5.0;8.0;0.0;3.0;3.0;16.0;0.4967702320396003;0.6102362170153528;4
46186;Paiporta;0.8;76.6;0.6292090549596248;28136.0;13675.0;1742.0;61.0;206.0;368.0;48.0;356.0;703.0;20.0;299.0;110.0;1251.0;0.5609882044825032;0.8133590717811272;5
46187;Palma;0.8;76.6;0.7011049835699256;1897.0;12985.0;81.0;3.0;11.0;20.0;3.0;19.0;26.0;0.0;8.0;5.0;67.0;0.5142261663033924;0.6654497197994476;4
46188;Palmera;0.8;76.6;0.7040783148379121;1038.0;12843.0;49.0;0.0;9.0;11.0;0.0;11.0;18.0;0.0;3.0;3.0;43.0;0.5072572155179692;0.643406775676353;4
46189;Palomar,;-2.0;76.6;0.6122118654452101;593.0;13652.0;31.0;0.0;7.0;3.0;0.0;6.0;14.0;0.0;12.0;0.0;18.0;0.518331493192474;0.6784349587556973;4
46190;Paterna;0.8;76.6;0.6542002983183155;76019.0;14451.0;4714.0;153.0;653.0;981.0;150.0;1090.0;1687.0;42.0;451.0;411.0;3665.0;0.570439938059468;0.8432551123069411;5
46191;Pedralba;0.8;76.6;0.5833696612325628;3225.0;12052.0;197.0;6.0;18.0;61.0;6.0;40.0;66.0;12.0;29.0;17.0;128.0;0.5427228578568429;0.7555853799507097;4
46192;Petrés;0.8;76.6;0.685943837575666;1124.0;13583.0;58.0;3.0;3.0;18.0;3.0;12.0;20.0;0.0;5.0;3.0;47.0;0.5019140989701585;0.626506380891972;4
46193;Picanya;0.8;76.6;0.6977737271466277;11901.0;15623.0;617.0;22.0;89.0;131.0;18.0;117.0;240.0;7.0;107.0;29.0;454.0;0.5237774774351621;0.6956607263142695;4
46194;Picassent;0.8;76.6;0.6220453210578811;23202.0;13620.0;1382.0;49.0;187.0;306.0;34.0;294.0;512.0;37.0;222.0;80.0;938.0;0.5572894273003794;0.8016597584612699;5
46195;Piles;0.8;76.6;0.6927936648398241;3151.0;12977.0;131.0;5.0;13.0;35.0;3.0;36.0;39.0;10.0;8.0;5.0;104.0;0.5226864031251965;0.6922096343508966;4
46196;Pinet;0.8;76.6;0.7034685607943957;156.0;14560.0;10.0;0.0;3.0;3.0;0.0;0.0;5.0;3.0;0.0;0.0;9.0;0.46272864693784155;0.5025619370033331;3
46197;Polinyà;0.8;76.6;0.660804608678547;2577.0;13072.0;120.0;6.0;11.0;28.0;3.0;31.0;40.0;3.0;13.0;10.0;87.0;0.5200696624142263;0.6839328261121019;4
46198;Potries;0.8;76.6;0.7200708441751646;1135.0;14346.0;51.0;3.0;6.0;10.0;5.0;14.0;12.0;3.0;3.0;3.0;42.0;0.4915850854421142;0.5938354846472164;3
46199;Pobla;0.8;76.6;0.6931405114049052;9255.0;14863.0;458.0;15.0;56.0;107.0;9.0;107.0;164.0;7.0;55.0;33.0;342.0;0.5250120984902696;0.6995658597796766;4
46200;Pobla;0.8;76.6;0.7076971835165992;2451.0;12942.0;46.0;3.0;7.0;12.0;3.0;7.0;17.0;3.0;7.0;3.0;31.0;0.5096164928534799;0.6508692216138855;4
46201;Puebla;-2.0;76.6;0.4825663927657906;53.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.3316125442179938;0.0878388294823431;1
46202;Pobla;0.8;76.6;0.6766730466584361;27471.0;15061.0;1469.0;64.0;203.0;301.0;54.0;298.0;549.0;25.0;209.0;113.0;1061.0;0.5437381152480818;0.7587966613379233;4
46203;Pobla;0.8;76.6;0.6590945613905941;4665.0;12875.0;202.0;10.0;26.0;35.0;8.0;58.0;65.0;3.0;23.0;9.0;143.0;0.5314143433455425;0.719816300621121;4
46204;Puig;0.8;76.6;0.737855026410523;9490.0;16616.0;448.0;18.0;61.0;120.0;14.0;70.0;165.0;6.0;53.0;27.0;344.0;0.5103395956441533;0.6531564115942493;4
46205;Puçol;0.8;76.6;0.7158642386287857;21659.0;15632.0;977.0;37.0;121.0;167.0;27.0;238.0;387.0;15.0;115.0;64.0;729.0;0.531411525362393;0.7198073872786371;4
46206;Quesa;0.8;76.6;0.5709232407746678;691.0;11762.0;52.0;3.0;10.0;16.0;0.0;8.0;16.0;3.0;8.0;3.0;38.0;0.5257195333502395;0.7018034917517177;4
46207;Rafelbunyol;0.8;76.6;0.6783316665655208;9974.0;14354.0;504.0;23.0;67.0;88.0;16.0;118.0;192.0;8.0;77.0;27.0;372.0;0.5315013107507396;0.7200913804304518;4
46208;Rafelcofer;0.8;76.6;0.6871725813538798;1409.0;13906.0;64.0;3.0;8.0;13.0;3.0;19.0;22.0;3.0;6.0;8.0;48.0;0.49994816414557935;0.6202880859402431;4
46209;Rafelguaraf;0.8;76.6;0.6396818812461902;2395.0;12414.0;80.0;3.0;13.0;23.0;3.0;16.0;23.0;6.0;17.0;8.0;48.0;0.5216418157829981;0.6889055816857614;4
46210;Ráfol;-2.0;76.6;0.5974700414272855;463.0;12077.0;22.0;3.0;3.0;3.0;0.0;6.0;10.0;0.0;6.0;3.0;13.0;0.5312337598609537;0.7192451111002147;4
46211;Real;0.8;76.6;0.6962529856122945;2722.0;13193.0;118.0;3.0;18.0;30.0;3.0;24.0;40.0;3.0;12.0;8.0;95.0;0.5183312589617287;0.6784342178787147;4
46212;Real;0.8;76.6;0.594911793632195;2497.0;12246.0;134.0;3.0;14.0;30.0;0.0;37.0;51.0;10.0;30.0;9.0;83.0;0.5326811352609611;0.723823191223013;4
46213;Requena;0.8;76.6;0.6151620169940499;20982.0;12868.0;1049.0;35.0;130.0;164.0;45.0;230.0;445.0;125.0;157.0;53.0;659.0;0.560296277273585;0.8111704908493554;5
46214;Riba-roja;0.8;76.6;0.6883328790660805;24616.0;15000.0;1289.0;38.0;157.0;279.0;45.0;265.0;505.0;20.0;155.0;96.0;970.0;0.5419277590197505;0.7530704648970656;4
46215;Riola;0.8;76.6;0.6129413187327705;1820.0;12625.0;91.0;5.0;6.0;21.0;3.0;21.0;35.0;3.0;16.0;7.0;57.0;0.5208186971035614;0.6863020392564694;4
46216;Rocafort;0.8;76.6;0.8968600537623507;7751.0;21958.0;272.0;9.0;39.0;64.0;7.0;45.0;108.0;0.0;22.0;14.0;235.0;0.47269418453194656;0.5340831509001129;3
46217;Rotglà;0.8;76.6;0.6371758389229332;1171.0;12994.0;66.0;5.0;15.0;7.0;3.0;12.0;24.0;0.0;8.0;5.0;48.0;0.5112043018289643;0.6558914962148139;4
46218;Ròtova;0.8;76.6;0.6962109468469095;1283.0;14544.0;44.0;5.0;6.0;11.0;3.0;8.0;12.0;0.0;12.0;3.0;29.0;0.48756066642202867;0.581106159054443;3
46219;Rugat;0.8;76.6;0.841848358020008;165.0;14459.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.4462942373339732;0.45057953911470716;3
46220;Sagunt/Sagunto;0.8;76.6;0.6256250874393839;73031.0;13986.0;4431.0;185.0;605.0;917.0;173.0;1088.0;1463.0;93.0;443.0;308.0;3116.0;0.5738095788751009;0.8539133600835299;5
46221;Salem;0.8;76.6;0.663993837391178;407.0;12952.0;16.0;3.0;3.0;3.0;0.0;3.0;9.0;0.0;5.0;0.0;11.0;0.4865248984557764;0.5778300022687837;3
46222;Sant;0.8;76.6;0.6744355375994968;527.0;13316.0;17.0;0.0;6.0;6.0;0.0;3.0;3.0;3.0;3.0;3.0;11.0;0.4839709042449325;0.5697516625855568;3
46223;Sedaví;0.8;76.6;0.6147401218345524;10837.0;13431.0;750.0;25.0;93.0;171.0;21.0;124.0;316.0;8.0;110.0;41.0;549.0;0.5499885408355358;0.778566894506738;4
46224;Segart;0.8;76.6;0.6895555381806503;180.0;16825.0;15.0;0.0;3.0;5.0;0.0;3.0;3.0;0.0;3.0;3.0;13.0;0.45441496162067513;0.4762655680740806;3
46225;Sellent;0.8;76.6;0.6346134836693398;383.0;12984.0;29.0;3.0;3.0;8.0;3.0;7.0;10.0;0.0;3.0;3.0;25.0;0.499650893515883;0.6193478124210872;4
46226;Sempere;0.8;76.6;0.40170206539904785;33.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;0.3091041939587519;0.016644424134367185;1
46227;Senyera;0.8;76.6;0.6757284765039941;1114.0;12941.0;40.0;3.0;10.0;7.0;3.0;11.0;9.0;0.0;6.0;3.0;28.0;0.5027856267372797;0.6292630423269416;4
46228;Serra;-2.0;30.7;0.695859142319503;3767.0;15306.0;208.0;5.0;25.0;60.0;3.0;46.0;70.0;6.0;25.0;16.0;160.0;0.535794077830563;0.7336694968194976;4
46229;Siete;0.8;76.6;0.6842031733104748;1289.0;14224.0;62.0;0.0;6.0;16.0;3.0;14.0;22.0;0.0;11.0;3.0;46.0;0.49625726147985877;0.6086136798884116;4
46230;Silla;0.8;76.6;0.5986134468125515;20482.0;13143.0;1383.0;65.0;184.0;296.0;37.0;307.0;494.0;26.0;209.0;67.0;956.0;0.5636362346137462;0.8217348491422407;5
46231;Simat;-2.0;30.7;0.7155219833885906;3311.0;12938.0;126.0;3.0;17.0;26.0;7.0;31.0;43.0;6.0;6.0;3.0;106.0;0.5506037522881757;0.7805128218194683;4
46232;Sinarcas;0.8;76.6;0.6389198367608955;1176.0;13739.0;56.0;0.0;10.0;11.0;3.0;14.0;17.0;9.0;8.0;3.0;35.0;0.4994349141735744;0.6186646650261868;4
46233;Sollana;0.8;76.6;0.6548438338162319;5089.0;13857.0;244.0;10.0;35.0;53.0;8.0;62.0;76.0;7.0;41.0;12.0;164.0;0.5237753034487059;0.6956538499474456;4
46234;Sot;0.8;76.6;0.6712438890382426;427.0;13157.0;25.0;3.0;7.0;3.0;3.0;7.0;6.0;3.0;0.0;3.0;21.0;0.4926466554509694;0.5971932538593183;3
46235;Sueca;0.8;76.6;0.6376948677819344;29194.0;13771.0;1567.0;60.0;205.0;342.0;44.0;330.0;586.0;39.0;237.0;123.0;1062.0;0.5573146447084564;0.8017395216758892;5
46236;Sumacàrcer;0.8;76.6;0.7087998682860414;1013.0;13129.0;42.0;3.0;3.0;15.0;3.0;12.0;11.0;3.0;0.0;3.0;35.0;0.501143307198937;0.6240683496205909;4
46237;Tavernes;0.8;76.6;0.6401480630807185;9824.0;13413.0;515.0;18.0;64.0;110.0;16.0;100.0;207.0;3.0;81.0;38.0;354.0;0.5417696628135861;0.7525704031308317;4
46238;Tavernes;0.8;76.6;0.6633862071455366;17866.0;13324.0;861.0;23.0;108.0;163.0;31.0;233.0;303.0;31.0;85.0;50.0;635.0;0.5514630054256082;0.7832306583316211;4
46239;Teresa;0.8;76.6;0.6968909105864411;620.0;13572.0;21.0;3.0;3.0;5.0;3.0;3.0;8.0;0.0;3.0;3.0;15.0;0.4846062710044379;0.5717613415757922;3
46240;Terrateig;0.8;76.6;0.6933653451521233;290.0;13824.0;13.0;3.0;3.0;3.0;3.0;3.0;5.0;0.0;3.0;3.0;10.0;0.4731028803246428;0.5353758646527471;3
46241;Titaguas;0.8;76.6;0.674017862430192;517.0;14130.0;19.0;0.0;3.0;3.0;0.0;3.0;9.0;3.0;3.0;0.0;12.0;0.4767826318494078;0.547014999401256;3
46242;Torrebaja;0.8;76.6;0.6041310895883171;398.0;14256.0;21.0;3.0;3.0;7.0;0.0;6.0;5.0;5.0;3.0;3.0;11.0;0.47739265747961207;0.5489445238439274;3
46243;Torrella;0.8;76.6;0.7498539444248474;151.0;12243.0;6.0;0.0;3.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;0.4784117715515178;0.5521680039966451;3
46244;Torrent;0.8;76.6;0.5675460909892507;90928.0;13142.0;6479.0;252.0;824.0;1291.0;260.0;1484.0;2368.0;182.0;1131.0;521.0;4296.0;0.5910334152767188;0.9083927322410037;5
46245;Torres;0.8;76.6;0.7064481928388675;808.0;16748.0;40.0;3.0;5.0;13.0;3.0;8.0;12.0;3.0;6.0;3.0;27.0;0.4675156784790152;0.5177034227199918;3
46246;Tous;0.8;76.6;0.7359440787225516;1354.0;13829.0;48.0;0.0;8.0;11.0;3.0;5.0;23.0;3.0;3.0;3.0;40.0;0.4960685704053096;0.6080168458827082;4
46247;Tuéjar;0.8;76.6;0.625780129651518;1278.0;13356.0;78.0;3.0;8.0;22.0;3.0;15.0;30.0;8.0;7.0;6.0;55.0;0.510419812457102;0.653410139132297;4
46248;Turís;0.8;76.6;0.6226891608833178;7717.0;12507.0;360.0;14.0;44.0;84.0;7.0;81.0;130.0;27.0;49.0;31.0;231.0;0.5460684912334628;0.7661676916713561;4
46249;Utiel;0.8;76.6;0.606024088084558;11663.0;12313.0;566.0;17.0;63.0;106.0;22.0;121.0;237.0;59.0;102.0;29.0;349.0;0.5565141782500993;0.799207628718504;4
46250;València;0.8;76.6;0.5777598631921965;840792.0;16121.0;47176.0;1351.0;6841.0;10861.0;1241.0;10085.0;16797.0;627.0;3988.0;2859.0;36849.0;0.5954929263951804;0.9224982636799947;5
46251;Vallada;0.8;76.6;0.6578120240506817;3091.0;13068.0;162.0;9.0;14.0;37.0;3.0;30.0;70.0;3.0;24.0;3.0;123.0;0.5256136570850858;0.7014686028037822;4
46252;Vallanca;0.8;76.6;0.7266374124308417;128.0;14769.0;6.0;3.0;0.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;5.0;0.4504571813710594;0.46374702237330623;3
46253;Vallés;0.8;76.6;0.5870289424487883;161.0;11778.0;6.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;0.484987984167395;0.5729687086789884;3
46254;Venta;0.8;76.6;0.6469318431842602;1143.0;10856.0;39.0;3.0;3.0;7.0;3.0;14.0;14.0;3.0;5.0;0.0;28.0;0.5322000621179015;0.7223015463243627;4
46255;Vilallonga/Villalonga;-2.0;76.6;0.6774785770249704;4865.0;13020.0;223.0;5.0;33.0;60.0;8.0;45.0;72.0;5.0;27.0;14.0;173.0;0.559428191062076;0.8084247151302405;5
46256;Vilamarxant;0.8;76.6;0.6049060576517531;11403.0;12846.0;771.0;29.0;97.0;172.0;28.0;186.0;259.0;11.0;113.0;52.0;558.0;0.557016766622468;0.8007973267591637;5
46257;Castelló;0.8;76.6;0.6629372084881888;6972.0;13019.0;281.0;11.0;43.0;60.0;10.0;63.0;94.0;14.0;36.0;20.0;194.0;0.5354775544376532;0.7326683263881959;4
46258;Villar;0.8;76.6;0.6554531868126778;3862.0;13378.0;190.0;7.0;17.0;49.0;10.0;39.0;68.0;12.0;29.0;7.0;135.0;0.5246505913701652;0.6984224048330252;4
46259;Villargordo;0.8;76.6;0.6495075224522255;588.0;12006.0;24.0;3.0;3.0;3.0;3.0;10.0;6.0;3.0;3.0;0.0;17.0;0.5056849986344676;0.6384338192042106;4
46260;Vinalesa;0.8;76.6;0.6962080567727278;3572.0;14715.0;146.0;8.0;18.0;35.0;3.0;33.0;50.0;3.0;21.0;7.0;102.0;0.5063815743532121;0.6406371034744778;4
46261;Yátova;0.8;76.6;0.6401235392067046;2325.0;14033.0;113.0;8.0;17.0;28.0;3.0;26.0;32.0;3.0;23.0;12.0;70.0;0.508618978532597;0.6477140619472107;4
46262;Yesa,;0.8;76.6;0.7795196137001688;246.0;14763.0;6.0;0.0;0.0;3.0;3.0;3.0;3.0;0.0;3.0;0.0;5.0;0.4528673215294568;0.4713703485347572;3
46263;Zarra;0.8;76.6;0.602600250865853;374.0;12091.0;20.0;3.0;3.0;8.0;0.0;3.0;5.0;3.0;3.0;3.0;13.0;0.501717528552727;0.6258846243519833;4
46902;Gátova;0.8;76.6;0.49814690548282003;452.0;12031.0;45.0;3.0;9.0;16.0;3.0;3.0;14.0;0.0;7.0;7.0;30.0;0.5242657667556858;0.6972051961404477;4
46903;San;0.8;76.6;0.8190442013498056;11192.0;18273.0;356.0;9.0;35.0;77.0;3.0;66.0;165.0;3.0;41.0;21.0;289.0;0.4961307846176668;0.608213630800392;4
46904;Benicull;0.8;76.6;0.652022694280154;1179.0;13281.0;60.0;3.0;8.0;16.0;3.0;14.0;18.0;3.0;7.0;8.0;43.0;0.5058078562500476;0.6388224205358475;4
