Codigo_municipio;Municipios;Calidad_vida_media
46001;Ademuz;0.5758872242744002
46002;Ador;0.6742105994867315
46003;Atzeneta;0.5784616364033883
46004;Agullent;0.5934530842870244
46005;Alaquàs;0.5761145715360012
46006;Albaida;0.5811069393062017
46007;Albal;0.6032876892577375
46008;Albalat;0.6157908466157145
46009;Albalat;0.7246953749787703
46010;Albalat;0.7148880335835571
46011;Alberic;0.5951471595793038
46012;Alborache;0.6994398720623912
46013;Alboraia/Alboraya;0.7558503937723401
46014;Albuixech;0.6867364060171356
46015;Alcàsser;0.6480194485463662
46016;Alcàntera;0.6562489194883243
46017;Alzira;0.6090547149584833
46018;Alcublas;0.6913766151763372
46019;Alcúdia,;0.6518209088307981
46020;Alcúdia;0.5950310491101053
46021;Aldaia;0.5858483515254395
46022;Alfafar;0.5635720444677211
46023;Alfauir;0.714324213165313
46024;Alfara;0.6666766382060313
46025;Alfara;0.6994416516704263
46026;Alfarb;0.6684799436350388
46027;Alfarrasí;0.6485369447706599
46028;Algar;0.6768463496315651
46029;Algemesí;0.609713750585587
46030;Algímia;0.6961024301307926
46031;Alginet;0.6489323379428651
46032;Almàssera;0.6678867039761194
46033;Almiserà;0.6665305531231693
46034;Almoines;0.6560077647956539
46035;Almussafes;0.6815935815013794
46036;Alpuente;0.6923115488789635
46037;Alqueria;0.6564993275136561
46038;Andilla;0.6724218573349412
46039;Anna;0.6495207730522818
46040;Antella;0.7047107168128229
46041;Aras;0.7053158335731279
46042;Aielo;0.6202526262616899
46043;Aielo;0.9166334101140101
46044;Ayora;0.6224452016310407
46045;Barxeta;0.7087351002215949
46046;Barx;0.6903578724338348
46047;Bèlgida;0.5553040804473566
46048;Bellreguard;0.6844193887095925
46049;Bellús;0.581439819584399
46050;Benagéber;0.8656945576749115
46051;Benaguasil;0.5917493397307126
46052;Benavites;0.7286863387434604
46053;Beneixida;0.7551619873828493
46054;Benetússer;0.6038560235370922
46055;Beniarjó;0.6527689360932335
46056;Beniatjar;0.655723297760169
46057;Benicolet;0.7182892445527015
46058;Benifairó;0.6708136870669569
46059;Benifairó;0.718744216981443
46060;Benifaió;0.6236979380414592
46061;Beniflá;0.6661949191532398
46062;Benigànim;0.6226186442748654
46063;Benimodo;0.6774022070356639
46064;Benimuslem;0.6139216563977774
46065;Beniparrell;0.6561133635055475
46066;Benirredrà;0.7875479964470794
46067;Benissanó;0.6185419545502836
46068;Benissoda;0.6338913552349474
46069;Benissuera;0.5843758638634243
46070;Bétera;0.7689726088232607
46071;Bicorp;0.5742661044863437
46072;Bocairent;0.6499146857221916
46073;Bolbaite;0.5962702639228143
46074;Bonrepòs;0.6653455140519086
46075;Bufali;0.8105569444134937
46076;Bugarra;0.6963755363906803
46077;Buñol;0.6340242487220188
46078;Burjassot;0.584260016722148
46079;Calles;0.604118478513245
46080;Camporrobles;0.6288207768521366
46081;Canals;0.5511629507037881
46082;Canet;0.7670686206012322
46083;Carcaixent;0.6074567795422482
46084;Càrcer;0.6534499080429729
46085;Carlet;0.5983868410389005
46086;Carrícola;0.5430875846671247
46087;Casas;0.560409409678365
46088;Casas;0.6172956615755044
46089;Casinos;0.6372096812376684
46090;Castelló;0.6892283805424301
46091;Castellonet;0.7120319925550788
46092;Castielfabib;0.6303837209647041
46093;Catadau;0.6478656086770518
46094;Catarroja;0.6093403050018307
46095;Caudete;0.6331381956837095
46096;Cerdà;0.5799472232855845
46097;Cofrentes;0.8336792716300808
46098;Corbera;0.6537668482912136
46099;Cortes;0.7508783659009375
46100;Cotes;0.824427725095182
46101;Quart;0.7299937577295736
46102;Quart;0.619954191299838
46103;Quartell;0.7466998795016545
46104;Quatretonda;0.711451899645682
46105;Cullera;0.6377307422875775
46106;Chelva;0.6244558203451028
46107;Chella;0.5952463296214424
46108;Chera;0.5749912214581672
46109;Cheste;0.6408971641932327
46110;Xirivella;0.5754441851289086
46111;Chiva;0.6857440151609014
46112;Chulilla;0.6462128104949061
46113;Daimús;0.7254066927645995
46114;Domeño;0.6708219680088058
46115;Dos;0.5524104936906138
46116;Eliana,;0.8074960563792596
46117;Emperador;0.7463130891149752
46118;Enguera;0.6124506612010325
46119;Énova,;0.646035985188711
46120;Estivella;0.7512318206943853
46121;Estubeny;0.8184341529569847
46122;Faura;0.6853206201494677
46123;Favara;0.6568802949061473
46124;Fontanars;0.6475067189259536
46125;Fortaleny;0.6814886510372966
46126;Foios;0.700147212754756
46127;Font;0.6552741820348817
46128;Font;0.6349941650548387
46129;Fuenterrobles;0.6247896350734028
46130;Gavarda;0.6498447498995985
46131;Gandia;0.6236666758197801
46132;Genovés,;0.6448376099530999
46133;Gestalgar;0.6653092145948275
46134;Gilet;0.7231457532617029
46135;Godella;0.8197170029720469
46136;Godelleta;0.6339058599745014
46137;Granja;0.8522576353331301
46138;Guadasséquies;0.6556480149576891
46139;Guadassuar;0.6795309853641827
46140;Guardamar;0.7777645033974601
46141;Higueruelas;0.6699746340205478
46142;Jalance;0.7287306298511598
46143;Xeraco;0.7080017491450626
46144;Jarafuel;0.7552667183977197
46145;Xàtiva;0.6320947806428634
46146;Xeresa;0.7644611323652964
46147;Llíria;0.6050043739740468
46148;Loriguilla;0.666830554997441
46149;Losa;0.6789525090551156
46150;Llutxent;0.6818824903775934
46151;Llocnou;0.7087758586557101
46152;Llocnou;0.5785366712342651
46153;Llocnou;0.7229564594837016
46154;Llanera;0.5526243919186199
46155;Llaurí;0.6490120727587454
46156;Llombai;0.6786053656404025
46157;Llosa;0.6672654292345761
46158;Macastre;0.5986117651273434
46159;Manises;0.5918694733060458
46160;Manuel;0.6337769116826972
46161;Marines;0.6990764151940991
46162;Massalavés;0.5865503870717967
46163;Massalfassar;0.7354874263381046
46164;Massamagrell;0.6376930703248292
46165;Massanassa;0.6444825469547528
46166;Meliana;0.6756533803795997
46167;Millares;0.4804464423544701
46168;Miramar;0.71401244007955
46169;Mislata;0.6339891604086189
46170;Moixent/Mogente;0.6194399141594125
46171;Montcada/Moncada;0.6528209680644006
46172;Montserrat;0.6347758904497924
46173;Montaverner;0.5463277333436654
46174;Montesa;0.6170811112304839
46175;Montitxelvo/Montichelvo;0.6395784724023156
46176;Montroi/Montroy;0.5959796240156884
46177;Museros;0.6629704356398267
46178;Nàquera/Náquera;0.7186261726190479
46179;Navarrés;0.6130461092381272
46180;Novetlè;0.707584478648764
46181;Oliva;0.6374127194258182
46182;Olocau;0.7030380758555642
46183;Olleria,;0.5933417146538237
46184;Ontinyent;0.5743735262958672
46185;Otos;0.660139050367387
46186;Paiporta;0.6292090549596248
46187;Palma;0.7011049835699256
46188;Palmera;0.7040783148379121
46189;Palomar,;0.6122118654452101
46190;Paterna;0.6542002983183155
46191;Pedralba;0.5833696612325628
46192;Petrés;0.685943837575666
46193;Picanya;0.6977737271466277
46194;Picassent;0.6220453210578811
46195;Piles;0.6927936648398241
46196;Pinet;0.7034685607943957
46197;Polinyà;0.660804608678547
46198;Potries;0.7200708441751646
46199;Pobla;0.6931405114049052
46200;Pobla;0.7076971835165992
46201;Puebla;0.4825663927657906
46202;Pobla;0.6766730466584361
46203;Pobla;0.6590945613905941
46204;Puig;0.737855026410523
46205;Puçol;0.7158642386287857
46206;Quesa;0.5709232407746678
46207;Rafelbunyol;0.6783316665655208
46208;Rafelcofer;0.6871725813538798
46209;Rafelguaraf;0.6396818812461902
46210;Ráfol;0.5974700414272855
46211;Real;0.6962529856122945
46212;Real;0.594911793632195
46213;Requena;0.6151620169940499
46214;Riba-roja;0.6883328790660805
46215;Riola;0.6129413187327705
46216;Rocafort;0.8968600537623507
46217;Rotglà;0.6371758389229332
46218;Ròtova;0.6962109468469095
46219;Rugat;0.841848358020008
46220;Sagunt/Sagunto;0.6256250874393839
46221;Salem;0.663993837391178
46222;Sant;0.6744355375994968
46223;Sedaví;0.6147401218345524
46224;Segart;0.6895555381806503
46225;Sellent;0.6346134836693398
46226;Sempere;0.40170206539904785
46227;Senyera;0.6757284765039941
46228;Serra;0.695859142319503
46229;Siete;0.6842031733104748
46230;Silla;0.5986134468125515
46231;Simat;0.7155219833885906
46232;Sinarcas;0.6389198367608955
46233;Sollana;0.6548438338162319
46234;Sot;0.6712438890382426
46235;Sueca;0.6376948677819344
46236;Sumacàrcer;0.7087998682860414
46237;Tavernes;0.6401480630807185
46238;Tavernes;0.6633862071455366
46239;Teresa;0.6968909105864411
46240;Terrateig;0.6933653451521233
46241;Titaguas;0.674017862430192
46242;Torrebaja;0.6041310895883171
46243;Torrella;0.7498539444248474
46244;Torrent;0.5675460909892507
46245;Torres;0.7064481928388675
46246;Tous;0.7359440787225516
46247;Tuéjar;0.625780129651518
46248;Turís;0.6226891608833178
46249;Utiel;0.606024088084558
46250;València;0.5777598631921965
46251;Vallada;0.6578120240506817
46252;Vallanca;0.7266374124308417
46253;Vallés;0.5870289424487883
46254;Venta;0.6469318431842602
46255;Vilallonga/Villalonga;0.6774785770249704
46256;Vilamarxant;0.6049060576517531
46257;Castelló;0.6629372084881888
46258;Villar;0.6554531868126778
46259;Villargordo;0.6495075224522255
46260;Vinalesa;0.6962080567727278
46261;Yátova;0.6401235392067046
46262;Yesa,;0.7795196137001688
46263;Zarra;0.602600250865853
46902;Gátova;0.49814690548282003
46903;San;0.8190442013498056
46904;Benicull;0.652022694280154
