Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno
46001;Ademuz;0.8;76.6
46002;Ador;0.8;76.6
46003;Atzeneta;0.8;76.6
46004;Agullent;0.8;76.6
46005;Alaquàs;0.8;76.6
46006;Albaida;0.8;76.6
46007;Albal;0.8;76.6
46008;Albalat;0.8;76.6
46009;Albalat;0.8;76.6
46010;Albalat;0.8;76.6
46011;Alberic;0.8;76.6
46012;Alborache;0.8;76.6
46013;Alboraia/Alboraya;0.8;76.6
46014;Albuixech;0.8;76.6
46015;Alcàsser;-2.0;76.6
46016;Alcàntera;0.8;76.6
46017;Alzira;0.8;76.6
46018;Alcublas;0.8;76.6
46019;Alcúdia,;0.8;76.6
46020;Alcúdia;0.8;76.6
46021;Aldaia;0.8;76.6
46022;Alfafar;0.8;76.6
46023;Alfauir;0.8;76.6
46024;Alfara;0.8;76.6
46025;Alfara;0.8;76.6
46026;Alfarb;0.8;76.6
46027;Alfarrasí;0.8;76.6
46028;Algar;0.8;76.6
46029;Algemesí;0.8;76.6
46030;Algímia;0.8;76.6
46031;Alginet;0.8;76.6
46032;Almàssera;0.8;76.6
46033;Almiserà;0.8;76.6
46034;Almoines;0.8;76.6
46035;Almussafes;0.8;76.6
46036;Alpuente;-2.0;76.6
46037;Alqueria;0.8;76.6
46038;Andilla;0.8;76.6
46039;Anna;0.8;76.6
46040;Antella;0.8;76.6
46041;Aras;0.8;76.6
46042;Aielo;0.8;76.6
46043;Aielo;0.8;76.6
46044;Ayora;0.8;76.6
46045;Barxeta;0.8;76.6
46046;Barx;0.8;76.6
46047;Bèlgida;0.8;76.6
46048;Bellreguard;0.8;76.6
46049;Bellús;0.8;76.6
46050;Benagéber;0.8;76.6
46051;Benaguasil;0.8;76.6
46052;Benavites;0.8;76.6
46053;Beneixida;0.8;76.6
46054;Benetússer;0.8;76.6
46055;Beniarjó;0.8;76.6
46056;Beniatjar;0.8;76.6
46057;Benicolet;0.8;76.6
46058;Benifairó;0.8;76.6
46059;Benifairó;0.8;76.6
46060;Benifaió;0.8;76.6
46061;Beniflá;0.8;76.6
46062;Benigànim;0.8;76.6
46063;Benimodo;-2.0;76.6
46064;Benimuslem;0.8;76.6
46065;Beniparrell;0.8;76.6
46066;Benirredrà;0.8;76.6
46067;Benissanó;0.8;76.6
46068;Benissoda;0.8;76.6
46069;Benissuera;0.8;76.6
46070;Bétera;0.8;76.6
46071;Bicorp;0.8;76.6
46072;Bocairent;0.8;117.4
46073;Bolbaite;0.8;76.6
46074;Bonrepòs;0.8;76.6
46075;Bufali;0.8;76.6
46076;Bugarra;0.8;76.6
46077;Buñol;0.8;76.6
46078;Burjassot;-2.0;76.6
46079;Calles;0.8;76.6
46080;Camporrobles;0.8;76.6
46081;Canals;0.8;76.6
46082;Canet;0.8;76.6
46083;Carcaixent;0.8;76.6
46084;Càrcer;0.8;117.4
46085;Carlet;0.8;76.6
46086;Carrícola;0.8;76.6
46087;Casas;0.8;76.6
46088;Casas;0.8;76.6
46089;Casinos;0.8;76.6
46090;Castelló;-2.0;76.6
46091;Castellonet;0.8;76.6
46092;Castielfabib;0.8;76.6
46093;Catadau;0.8;76.6
46094;Catarroja;0.8;76.6
46095;Caudete;0.8;76.6
46096;Cerdà;0.8;76.6
46097;Cofrentes;0.8;76.6
46098;Corbera;0.8;76.6
46099;Cortes;0.8;76.6
46100;Cotes;0.8;76.6
46101;Quart;0.8;76.6
46102;Quart;0.8;76.6
46103;Quartell;0.8;76.6
46104;Quatretonda;0.8;76.6
46105;Cullera;0.8;76.6
46106;Chelva;0.8;76.6
46107;Chella;0.8;76.6
46108;Chera;0.8;76.6
46109;Cheste;0.8;76.6
46110;Xirivella;0.8;76.6
46111;Chiva;0.8;76.6
46112;Chulilla;0.8;76.6
46113;Daimús;0.8;76.6
46114;Domeño;0.8;76.6
46115;Dos;0.8;76.6
46116;Eliana,;0.8;76.6
46117;Emperador;0.8;76.6
46118;Enguera;0.8;76.6
46119;Énova,;0.8;76.6
46120;Estivella;0.8;76.6
46121;Estubeny;0.8;76.6
46122;Faura;0.8;76.6
46123;Favara;0.8;76.6
46124;Fontanars;0.8;76.6
46125;Fortaleny;0.8;76.6
46126;Foios;0.8;76.6
46127;Font;0.8;76.6
46128;Font;0.8;76.6
46129;Fuenterrobles;0.8;76.6
46130;Gavarda;0.8;76.6
46131;Gandia;0.8;76.6
46132;Genovés,;0.8;76.6
46133;Gestalgar;0.8;76.6
46134;Gilet;0.8;76.6
46135;Godella;0.8;76.6
46136;Godelleta;0.8;76.6
46137;Granja;0.8;76.6
46138;Guadasséquies;0.8;76.6
46139;Guadassuar;0.8;76.6
46140;Guardamar;0.8;76.6
46141;Higueruelas;0.8;76.6
46142;Jalance;0.8;76.6
46143;Xeraco;0.8;76.6
46144;Jarafuel;0.8;76.6
46145;Xàtiva;0.8;76.6
46146;Xeresa;0.8;76.6
46147;Llíria;0.8;76.6
46148;Loriguilla;0.8;76.6
46149;Losa;0.8;76.6
46150;Llutxent;0.8;76.6
46151;Llocnou;0.8;76.6
46152;Llocnou;0.8;76.6
46153;Llocnou;-2.0;76.6
46154;Llanera;0.8;76.6
46155;Llaurí;0.8;76.6
46156;Llombai;0.8;117.4
46157;Llosa;0.8;76.6
46158;Macastre;0.8;76.6
46159;Manises;0.8;76.6
46160;Manuel;0.8;76.6
46161;Marines;0.8;76.6
46162;Massalavés;0.8;76.6
46163;Massalfassar;0.8;76.6
46164;Massamagrell;0.8;76.6
46165;Massanassa;0.8;76.6
46166;Meliana;0.8;76.6
46167;Millares;0.8;76.6
46168;Miramar;0.8;76.6
46169;Mislata;0.8;76.6
46170;Moixent/Mogente;0.8;76.6
46171;Montcada/Moncada;0.8;76.6
46172;Montserrat;0.8;76.6
46173;Montaverner;0.8;76.6
46174;Montesa;0.8;117.4
46175;Montitxelvo/Montichelvo;0.8;76.6
46176;Montroi/Montroy;0.8;76.6
46177;Museros;0.8;76.6
46178;Nàquera/Náquera;0.8;76.6
46179;Navarrés;0.8;76.6
46180;Novetlè;0.8;76.6
46181;Oliva;0.8;76.6
46182;Olocau;0.8;76.6
46183;Olleria,;0.8;76.6
46184;Ontinyent;0.8;76.6
46185;Otos;0.8;76.6
46186;Paiporta;0.8;76.6
46187;Palma;0.8;76.6
46188;Palmera;0.8;76.6
46189;Palomar,;-2.0;76.6
46190;Paterna;0.8;76.6
46191;Pedralba;0.8;76.6
46192;Petrés;0.8;76.6
46193;Picanya;0.8;76.6
46194;Picassent;0.8;76.6
46195;Piles;0.8;76.6
46196;Pinet;0.8;76.6
46197;Polinyà;0.8;76.6
46198;Potries;0.8;76.6
46199;Pobla;0.8;76.6
46200;Pobla;0.8;76.6
46201;Puebla;-2.0;76.6
46202;Pobla;0.8;76.6
46203;Pobla;0.8;76.6
46204;Puig;0.8;76.6
46205;Puçol;0.8;76.6
46206;Quesa;0.8;76.6
46207;Rafelbunyol;0.8;76.6
46208;Rafelcofer;0.8;76.6
46209;Rafelguaraf;0.8;76.6
46210;Ráfol;-2.0;76.6
46211;Real;0.8;76.6
46212;Real;0.8;76.6
46213;Requena;0.8;76.6
46214;Riba-roja;0.8;76.6
46215;Riola;0.8;76.6
46216;Rocafort;0.8;76.6
46217;Rotglà;0.8;76.6
46218;Ròtova;0.8;76.6
46219;Rugat;0.8;76.6
46220;Sagunt/Sagunto;0.8;76.6
46221;Salem;0.8;76.6
46222;Sant;0.8;76.6
46223;Sedaví;0.8;76.6
46224;Segart;0.8;76.6
46225;Sellent;0.8;76.6
46226;Sempere;0.8;76.6
46227;Senyera;0.8;76.6
46228;Serra;-2.0;30.7
46229;Siete;0.8;76.6
46230;Silla;0.8;76.6
46231;Simat;-2.0;30.7
46232;Sinarcas;0.8;76.6
46233;Sollana;0.8;76.6
46234;Sot;0.8;76.6
46235;Sueca;0.8;76.6
46236;Sumacàrcer;0.8;76.6
46237;Tavernes;0.8;76.6
46238;Tavernes;0.8;76.6
46239;Teresa;0.8;76.6
46240;Terrateig;0.8;76.6
46241;Titaguas;0.8;76.6
46242;Torrebaja;0.8;76.6
46243;Torrella;0.8;76.6
46244;Torrent;0.8;76.6
46245;Torres;0.8;76.6
46246;Tous;0.8;76.6
46247;Tuéjar;0.8;76.6
46248;Turís;0.8;76.6
46249;Utiel;0.8;76.6
46250;València;0.8;76.6
46251;Vallada;0.8;76.6
46252;Vallanca;0.8;76.6
46253;Vallés;0.8;76.6
46254;Venta;0.8;76.6
46255;Vilallonga/Villalonga;-2.0;76.6
46256;Vilamarxant;0.8;76.6
46257;Castelló;0.8;76.6
46258;Villar;0.8;76.6
46259;Villargordo;0.8;76.6
46260;Vinalesa;0.8;76.6
46261;Yátova;0.8;76.6
46262;Yesa,;0.8;76.6
46263;Zarra;0.8;76.6
46902;Gátova;0.8;76.6
46903;San;0.8;76.6
46904;Benicull;0.8;76.6
